Domain,Error Count,Warning Count,Error Details[0],Warning Details[0]
application.btsc.edu.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
appleused.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
applemac.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
apps.informatica.com.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
apps.pmuhealth.gop.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
app.washup.com.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
apps.flexifee.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
appspk.net.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
appsys.com.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
aprints.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
apps.myinstitute.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
aptech-education.com.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
apps.dynasol.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
ard.neduet.edu.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
apricart.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
arabnews.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
aqservices.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
areezayjewellers.com.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
artistan.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
argandeluxe.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
artvision.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
artisancoffeeroaster.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
aryjewellers.com.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
asaantax.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
artscouncil.org.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
arylaguna.com.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
asad.codemovement.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
asaanretail.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
asgifts.com.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
asiainsurance.com.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
artstudio.com.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
asianhospital.com.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
aset.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
asmite.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
asffoundation.gov.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
asia-marine.com.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
asearningsite.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
asavir.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
askanalyst.com.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
assetplex.com.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
asmr.mgmotors.com.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
asmc.edu.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
at.petmania.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
atcglobal.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
atssynthetic.com.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
astenterprises.com.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
atlas.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
attendance.dpeldd.gop.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
atozstore.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
astrohope.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
